class_id,class_name,YOLOv8n_mAP50-95,YOLOv8n_Precision,YOLOv8n_Recall,YOLOv8n_F1,YOLOv8n_mAP50,YOLOv8s_mAP50-95,YOLOv8s_Precision,YOLOv8s_Recall,YOLOv8s_F1,YOLOv8s_mAP50,YOLO11n_mAP50-95,YOLO11n_Precision,YOLO11n_Recall,YOLO11n_F1,YOLO11n_mAP50
17,Peach___healthy,0.9788169934640524,0.9970139127239264,0.98989898989899,0.9934437124222152,0.9949,0.9705694444444444,0.9975285085973622,1.0,0.998762725341841,0.995,0.9724027777777776,0.9984743001414432,1.0,0.9992365676864352,0.995
18,"Pepper,_bell___Bacterial_spot",0.9895931701863722,1.0,0.9977127589053932,0.9988550700873232,0.995,0.992657647907648,0.9985998591603734,1.0,0.99929943913825,0.995,0.9794758418177104,0.99847678438717,1.0,0.9992378117050296,0.995
19,"Pepper,_bell___healthy",0.99358883008883,0.9976934763148538,1.0,0.9988454066089254,0.995,0.9949594594594596,0.9876718246740902,1.0,0.9937976806971488,0.9937128712871288,0.9922280148423006,0.9874274899116098,1.0,0.993673977967896,0.9884653465346536
20,Potato___Early_blight,0.9740317570348384,1.0,0.993114957389798,0.9965455868038748,0.995,0.9827499066234572,0.996821619034341,1.0,0.9984082799708488,0.995,0.9722429582426512,0.9981613824355844,1.0,0.999079845311506,0.995
21,Potato___Late_blight,0.99354,0.9836833375562376,1.0,0.9917745629381232,0.995,0.995,0.982302830492241,1.0,0.991072418787111,0.995,0.99329,0.9829199901594622,1.0,0.991386435193906,0.995
22,Potato___healthy,0.995,0.994038515912848,1.0,0.9970103465707516,0.995,0.995,0.9938263206409612,1.0,0.996903602237002,0.995,0.995,0.989379877698672,0.972972972972973,0.9811078376395308,0.9944736842105264
23,Raspberry___healthy,0.9914594594594596,0.997644372653512,1.0,0.9988207974458644,0.9943725490196078,0.990945945945946,0.9995347616248978,1.0,0.999767326688172,0.995,0.9906461988304092,0.99749831722023,1.0,0.9987475920464096,0.995
24,Soybean___healthy,0.9875787354675204,0.9986038709762748,1.0,0.9993014478536744,0.995,0.9921686459334084,0.9985676980316291,1.0,0.9992833357760252,0.995,0.9911068428415232,0.9983704414847736,1.0,0.9991845563358036,0.995
25,Squash___Powdery_mildew,0.9808280518282244,0.9818499093828428,0.9835790616568642,0.9827137248799038,0.9942693611042236,0.9863414965945811,0.9983428593193912,0.990909090909091,0.994612085241525,0.995,0.9853600651778884,0.9988947880540006,0.990909090909091,0.9948859149477804,0.995
26,Strawberry___Leaf_scorch,0.96600560987862,0.9948839549953286,1.0,0.997435417237248,0.995,0.9690852616368252,0.994749194922284,1.0,0.9973676865788028,0.995,0.9762587599999848,0.975124118561465,1.0,0.9874054084982504,0.995
27,Strawberry___healthy,0.9836555555555556,0.9981198901138352,0.9859154929577464,0.991980155080742,0.9949065420560748,0.9847619047619048,1.0,0.992430862239919,0.9962010537461904,0.995,0.9867830687830688,1.0,0.9845129083128736,0.9921960237082595,0.995
28,Tomato___Bacterial_spot,0.9936795790008016,0.9898539634332156,0.975631532290574,0.9826912904616628,0.9939602293562688,0.9937295612069872,0.9899060525329888,0.9806992007658896,0.9852811190138232,0.9921033613445378,0.9936679758096008,1.0,0.9358878666482988,0.9668823104601084,0.9918589569160996
29,Tomato___Early_blight,0.950396058908612,0.99458230910719,0.9894179894179894,0.9919934279435778,0.9947351623740202,0.9630874138100054,0.9947125676857426,0.9953878602910892,0.9950500994162828,0.9948947368421052,0.9635552570651814,0.9946976061668514,0.9925679487860712,0.9936316363505188,0.99494708994709
30,Tomato___Late_blight,0.970937858901098,0.999896685163129,1.0,0.9999483399129376,0.995,0.9678909604548592,0.9986573583608832,1.0,0.9993282282060504,0.995,0.966357591697234,0.9984882551827494,0.9894736842105264,0.9939605310533712,0.9947938144329896
31,Tomato___Leaf_Mold,0.9571538700027536,0.9802784212155548,0.9887005649717514,0.9844714805841374,0.9896092384519348,0.9587139968478592,0.9865644060139416,0.9943502824858758,0.990442043269814,0.9904400207832696,0.9593820236972768,0.9745334911774652,0.9830508474576272,0.9787736400116636,0.9879013739609256
32,Tomato___Septoria_leaf_spot,0.9750039690919798,0.9834749969300408,0.9821428571428572,0.9828084756271354,0.9946428065201984,0.9708816039862144,0.9993110897659672,1.0,0.9996554261927724,0.995,0.9730244552044768,0.9940765418880712,0.9989355790840376,0.996500137229938,0.9949408284023668
33,Tomato___Spider_mites Two-spotted_spider_mite,0.9886371910473484,1.0,0.96085840465707,0.9800385406462964,0.9943819655521784,0.991191344775996,0.9954493916875832,0.9929078014184396,0.9941769721765868,0.995,0.9898262178157536,1.0,0.9812035803920326,0.9905126258633916,0.995
34,Tomato___Target_Spot,0.9941897684530416,0.9963859943003124,0.996268656716418,0.99632732205365,0.995,0.9945150793650792,0.9965498340022704,0.9981343283582088,0.9973414518519452,0.995,0.9915733766233764,0.9962711614479072,0.9969411771212772,0.996606056672154,0.995
35,Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.990958459133808,0.9943445578020328,1.0,0.9971642602198088,0.995,0.9908960041291346,0.994272779529927,1.0,0.9971281659515892,0.995,0.9911483009955177,0.9954899521663996,1.0,0.9977398794573212,0.995
36,Tomato___Tomato_mosaic_virus,0.9913783783783784,0.9951432785639518,1.0,0.9975657279914534,0.995,0.9915945945945946,0.9923125194308492,1.0,0.9961414283682026,0.995,0.8802418944268945,0.9981203184694264,1.0,0.999059275103106,0.995
37,Tomato___healthy,0.9906603773584906,,,,,0.99137037361174,,,,,0.9909905229602826,,,,
